f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Artist,CelestialBody
86885478.699,78899779.257,52520984.555,66594798.691,48301872.997,48989989.345,60418887.095,14261377.636,52127279.622,60288801.085,60806556.663,41843252.586,75235008.676,86371031.8,38971392.573,27517377.928,24585348.243,46428631.117,62997796.095,80636957.55,35915165.264,15825971.777,90589313.304,80732724.046,42825386.931,20514982.913,13355077.337,41925200.39,73248746.507,61564182.659,47592309.851,26360345.947,59584689.452,25229457.856,83136531.19,53391561.266,26657199.896,50201436.021,47362295.119,96472495.848,71448660.579,65946617.882,63391797.08,82885190.885,11598393.9,72245815.059,40516550.493,32062200.736,90062828.715,69808172.611,1,1,0
86349203.772,78895830.27,52518507.638,66606160.905,48298542.605,48990356.12,60416132.694,14405561.666,52126175.917,60276163.131,60845542.766,41842302.925,75234530.383,86370015.586,38920625.091,27414970.7,24600271.309,46395859.355,63031968.122,80635001.476,35923254.14,15819306.561,90586387.429,80731159.284,42825351.323,20566487.626,13354115.721,41930659.567,73243579.626,61551144.044,47593089.634,26387735.207,59584030.62,25228097.939,83130788.029,53363435.761,26662603.442,50339663.38,47323838.254,96472406.606,71444766.476,65942347.612,63398032.428,82901205.877,11595583.707,73386630.581,40551414.514,32059917.689,90057903.006,69819207.503,1,1,0
86352113.015,78895053.115,52521595.413,66594360.623,48299472.943,48990111.588,60432046.767,14342685.462,52130603.884,60280633.013,60801531.785,41865321.558,75234491.078,86353352.854,38934343.733,27461035.902,24582010.281,46418882.012,63019542.494,80631004.401,35921745.765,15827785.48,90579139.7,80731571.361,42827058.629,20581957.566,13352570.934,41942020.747,73242506.535,61538907.172,47598839.123,26404460.067,59584128.349,25224508.796,83150887.245,53375641.307,26667613.07,50308532.987,47337786.394,96472600.921,71438902.42,65949561.112,63324640.301,82888815.482,11599557.575,73392141.416,40552751.42,32061927.316,90059271.061,69757207.413,1,1,0
86317202.187,78909073.919,52514201.432,66600100.845,48298278.155,48990741.886,60387831.027,14267585.635,52102837.758,60296791.071,60806721.365,41831640.512,75228423.096,86358557.151,38865694.993,27511423.059,24516057.408,46373897.247,62076950.037,80667021.874,35907133.348,15804837.373,90583322.213,80730863.931,42828436.123,20588278.553,13354414.37,41912031.359,73247766.188,61553431.245,47588396.319,26396319.47,59583180.655,25229457.166,83128177.598,53379508.158,26663394.658,50311483.168,47339335.877,96472251.136,71442125.37,66015682.034,63395424.04,82885878.764,11603021.41,73376324.381,40547152.175,32060798.568,90056135.672,69785675.214,1,1,0
86375329.474,78901824.159,52520274.711,66604571.351,48296245.688,48990259.936,59979540.247,14289330.789,52131720.081,60277620.785,60834336.85,41854529.701,75238634.29,86360444.443,38919358.737,27521998.002,24604016.468,46403497.479,62987131.474,80541827.719,35910289.543,15782675.625,90587824.694,80722530.441,42825492.78,20609888.331,13346288.681,41927716.419,73244234.365,61562881.511,47573453.633,26399040.467,59584064.129,25228478.711,83135153.267,53410194.509,26663837.316,50328488.28,47326473.348,96471860.357,71437315.223,65944970.069,63423891.576,82888360.683,11603341.748,73379936.499,40555479.636,32059200.606,90058281.463,69769357.057,1,1,0
86338068.651,78896763.716,52521028.98,66596995.013,48292736.496,48990222.821,60440453.013,14264992.071,52129650.946,60268633.835,60794255.493,41750090.657,75247710.77,86370889.342,38926428.943,27501807.916,24576927.032,46474479.545,62559324.01,80644264.279,35916201.622,15826181.747,90583969.636,80725344.343,42829412.343,20585844.322,13350891.948,41922984.757,73191169.579,61551897.901,47594947.588,26410586.297,59584660.993,25223353.014,83133614.011,53372103.461,26658187.97,50332515.349,47340954.614,96472474.197,71441657.562,65943489.784,63394605.969,82885840.772,11596773.547,73378666.455,40550680.763,32110378.947,90058950.004,69762011.748,1,1,0
86349370.344,78900309.406,52527161.113,66636392.328,48285175.824,48990047.537,60423877.044,14110658.88,52151896.691,60073353.007,60809594.266,42401588.646,75615285.478,86296716.531,38878029.392,27511984.166,24557839.946,46361304.228,62986804.893,80665474.297,35908661.698,15822434.086,90580613.637,80734845.255,42828205.138,20583565.927,13342682.951,41929943.53,73224227.307,61567906.368,47586191.124,26403291.744,59588102.936,25223884.697,83132627.679,53310313.216,26665582.909,50314707.704,47341453.064,96472667.493,71447297.882,65946714.394,63434309.077,83000701.598,11632661.47,73381239.142,40564904.374,32061851.568,90077553.944,69751473.421,1,1,0
86252201.246,78899295.202,52518400.218,66622995.742,48297288.165,48990077.619,60403184.946,14294987.055,52128430.359,60262962.239,60790657.658,41847544.041,75223185.012,86366643.093,38872804.485,27510056.649,24592191.395,46438271.069,62940993.107,80613034.032,35899182.219,15810331.603,90586876.562,80770120.012,42826399.874,20580524.94,13356609.562,41929019.421,73222972.419,61551357.582,47596438.514,26355225.819,59584121.352,23113718.689,83116941.695,53385856.663,26667515.583,50357040.666,47330240.438,96471862.091,71434827.157,65922632.819,63407425.128,82894844.708,11600527.471,73385731.973,40501862.725,32062821.896,90058586.269,69717416.324,1,1,0
86356042.455,78886324.268,52518478.455,66611092.789,48298066.685,48991929.871,60392918.194,14265428.512,52124275.638,60343402.381,60787077.552,41812095.395,75243490.213,86368314.402,38910160.219,27518312.781,24594089.524,46258017.669,63043490.706,80634728.914,35932943.464,15824786.627,90590547.016,80725713.878,42825152.064,20578562.073,13353060.927,41913449.15,74138880.163,61558602.482,47586898.18,26403946.012,59585839.798,25225954.019,83143535.034,53526860.621,26662081.315,50299396.905,47340705.844,96472500.04,71446577.466,65945479.11,63393505.2,82887566.807,11574280.523,73382228.766,40588243.157,32059750.404,90056918.051,69755508.508,1,1,0
86342872.907,78875305.551,52519207.836,66593666.133,48717510.058,48989797.975,60429150.35,14254677.88,52126345.864,60245228.291,60796621.342,41837716.632,75410494.413,86379002.531,38919587.413,27770516.77,24589924.633,46426219.471,63704638.482,80663849.853,35908547.187,15834120.341,90585482.459,80725638.598,42817946.838,20770174.581,13352605.38,41923374.355,73227345.725,61559266.565,47590923.43,26421067.116,59584535.512,25227145.87,83127381.087,53387495.711,26670785.162,50312256.603,47328948.727,96474741.831,71439613.068,65947269.041,63428587.054,82882795.535,11612878.688,73383902.607,40549698.727,32057947.119,90056566.984,69772315.892,1,1,0
86354043.272,78897594.437,52518668.034,66587966.98,48293655.819,48992883.279,60420380.935,14255350.142,52128578.544,60270041.296,60784056.096,41714277.332,75221150.375,86372530.638,38908140.858,27468801.431,24602369.505,46461362.294,63010113.948,80653214.513,35924704.175,15824772.159,90584729.169,80731031.868,42789147.226,20565693.243,13356103.424,41927839.712,73236388.505,61554709.363,47601418.678,26481735.298,59584843.268,25223293.225,83830402.595,53370406.293,26668936.948,50328107.121,47321982.654,96473063.286,71444905.861,65940719.28,63410133.22,82883991.431,11498530.02,73390415.647,40556068.798,32060696.406,90059577.893,69776197.725,1,1,0
86401019.804,78901006.635,52518604.735,66622113.03,48293876.431,48989858.57,60407010.779,14258835.412,52125652.15,60361994.022,60792665.76,41844774.445,75239407.527,86074689.614,38915145.245,27767134.302,24597936.478,46373175.338,63022541.083,80651874.171,35940966.125,15826532.868,90591998.397,80729247.562,42823538.298,20583650.419,13353704.392,41919979.971,73237126.34,61570701.945,47482493.752,26399608.396,59585434.783,25227986.75,83132577.269,53281568.424,26662511.774,50308147.116,47338960.202,96472582.67,71445747.657,65940886.991,63398798.154,82889125.498,11596401.39,73376871.418,40550874.612,32077700.219,90059067.284,69757635.601,1,1,0
86360380.14,78903192.335,52519074.787,66592026.584,48311200.878,48990512.146,60426069.045,14286333.28,52129944.883,60270476.151,61024766.744,41897172.974,75270204.592,86373355.961,38906291.85,27515700.156,24569016.463,46436197.471,63064041.875,80630511.813,35908697.651,15830015.417,90591679.744,80745521.905,42826783.255,20611475.519,13356196.206,41918131.86,73243733.454,61552016.045,47506063.398,26393740.708,59584470.419,25228410.64,83112173.506,53366777.516,26664379.517,50325494.868,47350146.384,96471678.591,71441128.931,65948435.143,63391908.619,82880048.255,11601670.082,73386178.689,40554331.232,32062034.958,90058518.375,69791710.717,1,1,0
86363493.598,78907393.767,52518295.567,66610178.761,48299350.631,48990068.231,60413097.228,14282206.287,52132407.646,60287961.362,60723762.542,41855969.722,75207899.214,86367620.961,38916481.41,27536675.969,24584214.769,46423966.989,63044996.459,80640877.837,35911672.693,15825498.48,90585528.283,80798090.327,42826403.681,20582972.691,13352964.48,41924262.111,73232830.262,61416574.115,47601018.437,26401064.588,59584569.13,25226686.481,83147801.31,53398283.794,26672295.854,50285174.326,47347860.291,96476015.571,71453200.799,65960838.283,63426177.789,82881781.673,11600670.741,73377952.478,40556269.909,32061169.496,90058744.791,69776872.528,1,1,0
86348675.197,78909939.462,52522646.114,66596591.891,48301574.81,48990077.318,60407043.333,14265547.706,52129309.725,60216270.632,60787987.089,41851692.829,75251101.259,86362734.397,38951744.27,27470561.159,24584554.071,46418497.3,63013014.995,80662317.713,35915682.555,15846599.734,90544589.153,80721227.522,42824087.851,20591061.293,13353238.267,41981097.892,73221308.322,61464166.856,47574348.132,26406091.229,59587051.737,25227601.95,82982677.144,53347347.629,26664352.458,50307326.381,47347554.201,96471685.856,71449413.729,65948550.088,63411938.289,82890096.213,11614037.33,73378126.955,40557992.67,32059436.47,90057764.457,69773452.843,1,1,0
86840573.887,78904664.696,52520240.17,66598708.973,48313461.384,48989232.566,60403869.427,13480971.887,52122190.916,60249208.946,60789705.831,41850449.11,75194325.136,86368282.072,38911576.536,27538149.318,24543194.973,46255452.855,62708256.133,80643591.992,35907660.84,15826040.264,90590379.87,80719046.971,42824135.402,20572636.231,13352845.256,41917635.85,73231414.189,61613785.411,47591095.978,26379292.589,59584276.955,25223334.364,83126531.25,53370103.827,26500642.561,50340248.599,47337747.521,96472864.574,71444990.539,65947854.158,63420118.234,82886377.031,11605011.251,73383152.939,40550372.999,32060964.185,90055678.214,69831262.25,1,1,0
86363572.815,78898326.292,52519033.725,66583476.931,48318860.155,48990242.641,60412782.596,14275209.246,52129764.521,60276873.219,60768210.807,41792871.982,75248737.648,86374555.623,38904288.851,27521223.67,24597824.774,46385118.77,63165477.112,80639713.482,35908699.2,15823102.642,90587961.064,80735198.441,42824502.646,20585110.384,13354018.586,41928182.696,73239552.116,61559908.287,47595062.548,26387288.607,59583676.722,25229082.246,83108934.747,53390613.515,26658985.36,50332089.294,47345521.703,96473201.373,71448513.759,65920151.274,63410345.524,82889077.509,11606782.976,73389044.538,40549750.876,32061304.885,90059492.199,69831258.803,1,1,0
