f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Artist,Place
86363572.815,78898326.292,52519033.725,66583476.931,48318860.155,48990242.641,60412782.596,14275209.246,52129764.521,60276873.219,60768210.807,41792871.982,75248737.648,86374555.623,38904288.851,27521223.67,24597824.774,46385118.77,63165477.112,80639713.482,35908699.2,15823102.642,90587961.064,80735198.441,42824502.646,20585110.384,13354018.586,41928182.696,73239552.116,61559908.287,47595062.548,26387288.607,59583676.722,25229082.246,83108934.747,53390613.515,26658985.36,50332089.294,47345521.703,96473201.373,71448513.759,65920151.274,63410345.524,82889077.509,11606782.976,73389044.538,40549750.876,32061304.885,90059492.199,69831258.803,1,1,0
86360136.839,78881805.147,52519176.834,66593919.428,48185936.084,48990142.918,60464056.738,14288867.592,52131999.509,60252940.824,60791130.686,41896796.698,75270882.863,86359502.275,38933366.557,27482441.185,24602703.797,46283696.787,63038346.165,80637866.563,35902050.062,15823339.061,90579643.143,80733463.117,42827786.055,20581142.612,13357322.7,41927883.986,73244158.366,61549797.935,47593531.376,26387243.539,59584505.981,25232210.864,83114816.542,53415640.48,26667235.056,50339856.899,47366445.753,96471641.821,71444618.386,65901626.923,63464658.596,82891164.671,11593912.135,73381644.355,40548252.688,31892627.174,90059599.938,69895929.31,1,1,0
86358874.033,78913500.558,52518050.652,66601041.542,48288523.399,48990320.295,60379587.939,14254870.385,52129560.04,60271877.979,60792728.92,41841951.147,75235739.855,86379368.99,38949359.045,27507599.556,24589165.766,46425415.121,63174797.091,80635563.441,35910472.428,15828393.076,90583806.372,80714684.672,42827413.67,20572936.075,13353121.078,41926240.067,73228106.084,61643980.149,47599303.403,26384393.91,59583859.81,25227435.537,83109624.283,53202850.127,26667615.852,50332326.404,47344009.565,96473223.546,71437589.757,65948939.036,63409809.149,82884296.681,11612384.253,73380189.969,40557980.945,32029623.278,90060762.023,69764856.377,1,1,0
86355460.825,78898306.113,52519309.667,66597484.814,48274691.958,48990451.428,60416420.194,14253742.936,52129695.272,60284160.947,61746431.285,41875580.136,75270703.942,86361879.704,38884085.977,27476067.581,24698052.411,46557466.078,63040087.41,80638985.768,35911953.116,15829448.918,90560924.984,80723242.777,42834183.411,20568295.874,13351830.635,42004675.855,73251871.956,61658728.424,47601348.496,26415233.676,59584633.538,25229093.694,83154511.869,53378949.073,26665140.386,50328242.933,47363198.748,96473319.721,71442332.224,65944062.846,63398464.721,82918016.514,11605557.368,73405060.887,40554455.913,32060733.509,90058418.843,69776150.681,1,1,0
86352006.994,78920868.364,52565593.936,66602504.386,48302227.289,48990332.586,60394648.586,14250459.332,52129237.672,60271313.381,60786678.746,41835079.811,75231575.234,86388713.299,38941849.745,28033056.667,24590198.033,46399480.514,63028061.377,80632421.672,35913544.416,15820962.452,90587019.981,80743115.848,42826130.513,20561558.843,13356283.053,41914983.893,73226555.194,61506610.895,47595417.382,26384503.542,59584767.392,25228835.582,83122790.746,53382426.4,26670883.123,50612148.369,47345645.233,96473143.589,71449436.394,66103744.136,63397257.552,82872752.871,11604058.709,73392039.842,40566039.755,32059989.054,90059174.225,69813161.142,1,1,0
86350282.506,78973201.005,52517439.824,66596841.812,48317814.431,48990477.669,60399660.981,14285840.953,52130434.545,60308558.522,60815373.749,41832771.927,75373016.549,86363041.754,38910628.774,27483449.1,24593908.619,46403855.034,63054532.575,80655382.236,35924144.296,15824091.798,90585350.916,80724651.98,42826712.959,20568149.367,13353379.103,41925395.813,73243490.423,62601297.255,47604324.402,26373162.382,59584747.467,25284572.014,83148547.063,53377560.085,26663636.887,50313580.758,47356058.59,96475980.626,71422691.625,65948826.423,63392379.655,82894486.438,11612315.481,73378500.988,40553269.254,32061490.177,90059023.187,69761703.484,1,1,0
86364859.593,78899677.618,52519619.484,66615986.172,48273656.884,48990069.125,60414823.53,14318058.812,52129862.679,60299689.587,60774763.594,41833113.576,75213746.002,86362036.516,38933899.765,27574473.779,24590764.432,46445363.741,63092253.834,80641628.141,35913584.502,15829452.481,90583920.227,80729955.497,42831801.226,20576942.386,13352009.301,41922233.86,73230849.737,61544821.221,47578075.822,26286781.651,59583790.033,25225963.508,83125358.315,53348599.92,26657913.938,50267927.433,47338001.446,96472907.04,71449386.0,65946320.407,63385295.274,82879595.102,11607554.106,73382396.671,40553097.189,32072121.391,90058416.586,69760929.545,1,1,0
86368555.179,78892572.11,52519319.909,66605561.729,48289627.824,48989928.725,60415165.037,14289368.119,52129840.067,60329244.037,60802181.339,41857454.922,75203301.197,86366767.516,38938499.351,27499877.685,24581924.356,46396913.345,63011671.662,80081610.335,35910026.21,15827688.754,90586139.488,80723363.589,42825767.252,20589761.891,13352280.005,41923630.876,73387319.04,61553831.827,47598092.284,26342673.557,59584598.869,25235678.159,83115502.649,53373092.812,26666974.634,51860987.173,47401475.533,96473087.437,71442463.292,65948590.323,63458560.671,82891146.881,11592097.802,73380777.844,40559652.992,32059623.751,90043773.036,69779990.946,1,1,0
86360021.884,78898513.309,52519398.003,66607989.393,48297073.855,48990296.591,60425577.968,14273510.416,52116006.394,60259165.266,60776439.374,41840433.665,75237656.921,86390002.499,38896168.62,27502364.063,24472267.291,46394297.283,62969856.197,80636460.099,35928141.776,15830990.946,90585662.986,80726607.55,42823316.103,20579026.26,13363836.873,41927879.311,73239724.576,61555032.288,47591082.264,26379617.611,59585644.042,25226664.054,83133982.404,53387418.464,26669727.494,50293141.507,47339712.174,96472466.789,71447299.041,65923759.362,63380708.65,82899719.556,11602426.865,73383049.593,40555187.535,32060347.327,90065744.542,69770427.744,1,1,0
86354043.272,78897594.437,52518668.034,66587966.98,48293655.819,48992883.279,60420380.935,14255350.142,52128578.544,60270041.296,60784056.096,41714277.332,75221150.375,86372530.638,38908140.858,27468801.431,24602369.505,46461362.294,63010113.948,80653214.513,35924704.175,15824772.159,90584729.169,80731031.868,42789147.226,20565693.243,13356103.424,41927839.712,73236388.505,61554709.363,47601418.678,26481735.298,59584843.268,25223293.225,83830402.595,53370406.293,26668936.948,50328107.121,47321982.654,96473063.286,71444905.861,65940719.28,63410133.22,82883991.431,11498530.02,73390415.647,40556068.798,32060696.406,90059577.893,69776197.725,1,1,0
86355377.475,78962105.741,52520116.608,62453450.066,48306647.409,48990173.904,60412762.664,14278316.038,52130945.448,60363544.867,60793408.936,41841064.092,75303939.867,86366444.631,38742490.065,27502549.806,24607348.144,46400500.95,63169479.757,81161376.916,35914184.393,15827573.846,90586276.867,80727806.72,42814888.111,20566360.078,13360602.839,41930473.75,73222607.25,61549885.06,47566577.854,26376729.772,59584439.529,25227245.006,83152337.932,53380446.005,26664335.077,50330920.684,47353837.246,96473232.353,71440741.998,65939350.113,63372553.965,82880012.864,11596350.042,73381876.684,40555223.374,32058604.104,90058218.223,69735848.585,1,1,0
86365636.873,78900781.021,52519908.986,66605955.094,48313036.561,48989752.289,60409660.91,14270149.099,52140492.628,60253973.086,60791809.35,41836106.834,75224547.768,86389326.213,38928604.29,27521413.44,24618401.572,46481801.004,62992111.846,80528372.006,35917607.783,15825404.705,90587155.002,80731646.032,42830628.565,20585503.087,13404148.269,41925608.854,73241320.909,61556681.172,47566656.157,26370234.589,59584271.907,25231857.105,83113929.095,53387198.844,26673719.262,50335545.54,47387824.617,96520139.974,71446425.055,65952391.292,63440520.267,82863791.438,11605655.658,73369421.385,40552907.182,32061687.653,90059193.895,69766708.162,1,1,0
86347075.329,78894324.433,52510284.353,66597629.809,48296675.835,48990180.397,60385432.055,14278222.301,52121829.476,60275731.942,60782203.209,41848584.359,75259592.473,86387434.377,38894649.514,27445492.323,24585103.802,46510534.415,62945422.928,80630697.59,35905756.92,15829929.261,90586365.758,80729013.347,42824696.762,20582023.765,13355030.39,41929296.347,73239396.396,61558754.95,47606746.956,26402241.641,59585043.182,25226522.46,83126427.148,53411362.282,26668013.14,50346813.798,47368868.698,96471042.204,71402399.184,65953276.677,63408703.52,82887472.582,11600446.386,73404318.342,41140205.56,32059580.418,90058089.783,69764380.77,1,1,0
86360491.098,78883187.512,52518640.872,66603662.319,48308428.445,48990251.233,60420981.978,14282038.47,52127483.842,60287540.216,60811631.293,41853093.635,75360448.456,86364452.941,38914623.239,27497511.801,24575655.318,46405262.564,63048750.35,80636327.338,35907020.855,15827266.955,90586689.636,80727616.154,42822093.296,20587701.674,13493487.475,41916889.846,73239144.787,61564767.446,47606317.564,26385073.179,59583624.91,25226467.265,83124856.345,53438553.796,26663671.295,50317294.885,47351648.753,96475183.279,71443697.959,65952933.31,63398401.466,82883825.376,12025538.862,73418807.344,40556538.363,32060061.354,90058828.671,69770280.814,1,1,0
86357264.637,78903868.76,52518358.508,66599344.218,48316713.211,48990487.73,58902646.21,14462728.378,52130412.319,60269334.195,60967867.192,41854416.25,75345691.56,86370448.901,39021204.678,27510955.452,24632205.859,46434439.36,63009478.95,80632225.945,35913232.507,15825280.384,90585087.984,80727906.873,42825007.204,20575607.017,13367839.146,41932865.19,73216854.925,61559139.479,47595798.775,26349124.485,59584474.166,25226968.711,83165087.098,53358673.261,26666215.028,50299765.277,47343599.143,96473063.942,71438289.409,65927071.122,63391378.795,82884423.794,11606980.59,73383654.52,40541666.48,32062176.547,90057502.15,69776937.502,1,1,0
86350570.321,78899186.71,52519130.718,66583277.298,48284316.495,48990152.353,60426263.17,14283042.951,52132456.988,60264172.634,60787623.082,41950763.996,75244107.501,86369876.79,38869653.748,27507961.221,24592640.722,46408904.969,63491625.996,80640761.844,35934540.984,15826510.552,90587029.904,80725579.05,42825349.329,20585738.897,13355748.961,41921365.331,73197659.128,61561431.76,47588515.26,26408847.456,59584746.7,25225112.045,83131731.717,53288935.569,26654570.847,50322480.201,47339925.008,96490087.98,71442883.234,65953054.664,63408184.413,82879779.721,11601426.508,73374277.671,40573905.718,32061234.105,89931831.619,69773722.797,1,1,0
